loan_id,borrower_id,sector_nace,loan_type,currency,outstanding_idr,total_equity_idr,total_debt_idr,pcaf_attribution_factor,borrower_emissions_tco2e,pcaf_data_quality_score,record_status,reporting_year
LN-2024-0000027,BOR-000027,financial_services,revolving_credit,IDR,2000000000000,9095450000000,3976322000000,0.153001,6787.75,4.0,validated,2024
LN-2023-0000028,BOR-000028,manufacturing_cement,syndicated_loan,IDR,395770000000,27060451000000,2861692000000,0.013227,117975.14,3.0,validated,2023
LN-2024-0000028,BOR-000028,manufacturing_cement,syndicated_loan,IDR,1595831000000,26571326000000,2856186000000,0.054229,121597.12,3.0,validated,2024
LN-2023-0000029,BOR-000029,retail_trade,syndicated_loan,USD,1789627000000,363779000000,4219897000000,0.390435,9205.17,3.0,validated,2023
LN-2024-0000029,BOR-000029,retail_trade,syndicated_loan,USD,2000000000000,369671000000,4782032000000,0.388221,8944.51,3.0,validated,2024
LN-2023-0000030,BOR-000030,retail_trade,term_loan,IDR,530843000000,5854941000000,4000303000000,0.053864,7344.28,3.0,validated,2023
LN-2024-0000030,BOR-000030,retail_trade,term_loan,IDR,641390000000,6142860000000,3978671000000,0.063369,6886.27,3.0,validated,2024
LN-2023-0000031,BOR-000031,energy_oil_gas,revolving_credit,IDR,796153000000,2474130000000,13942683000000,0.048496,2949281.14,4.0,validated,2023
LN-2024-0000031,BOR-000031,energy_oil_gas,revolving_credit,IDR,259695000000,2561061000000,13161294000000,0.016518,2909020.29,4.0,validated,2024
LN-2023-0000032,BOR-000032,manufacturing_food,mortgage,IDR,224164000000,14125209000000,253163000000,0.01559,86447.67,3.0,validated,2023
LN-2024-0000032,BOR-000032,manufacturing_food,mortgage,IDR,518196000000,15104660000000,258984000000,0.033729,84497.78,3.0,validated,2024
LN-2023-0000033,BOR-000033,real_estate_commercial,syndicated_loan,USD,890878000000,9194183000000,9412377000000,0.04788,21069.13,5.0,validated,2023
LN-2024-0000033,BOR-000033,real_estate_commercial,syndicated_loan,USD,2000000000000,9723797000000,10155368000000,0.100608,19495.64,5.0,validated,2024
LN-2023-0000034,BOR-000034,real_estate_residential,mortgage,IDR,437290000000,11012144000000,369508000000,0.038421,1711.41,2.0,validated,2023
LN-2024-0000034,BOR-000034,real_estate_residential,mortgage,IDR,2000000000000,11216720000000,353152000000,0.172863,1658.3,2.0,validated,2024
LN-2023-0000035,BOR-000035,agriculture,leasing,IDR,404047000000,8761371000000,827865000000,0.042135,31428.97,5.0,pending,2023
LN-2024-0000035,BOR-000035,agriculture,leasing,IDR,65813000000,9480601000000,826068000000,0.006385,31596.32,5.0,validated,2024
LN-2023-0000036,BOR-000036,real_estate_residential,revolving_credit,IDR,416149000000,39820161000000,1764553000000,0.010007,1755.22,5.0,validated,2023
LN-2024-0000036,BOR-000036,real_estate_residential,revolving_credit,IDR,523595000000,42615199000000,1974297000000,0.011743,1718.39,5.0,validated,2024
LN-2023-0000037,BOR-000037,real_estate_commercial,term_loan,USD,1203826000000,5838315000000,2565950000000,0.14324,17322.89,4.0,rejected,2023
LN-2024-0000037,BOR-000037,real_estate_commercial,term_loan,USD,283128000000,6122350000000,2684563000000,0.032148,17105.32,4.0,validated,2024
LN-2023-0000038,BOR-000038,retail_trade,syndicated_loan,IDR,473666000000,13575109000000,340028000000,0.03404,8829.32,3.0,validated,2023
LN-2024-0000038,BOR-000038,retail_trade,syndicated_loan,IDR,148347000000,13434596000000,386239000000,0.010734,9161.78,3.0,validated,2024
LN-2023-0000039,BOR-000039,manufacturing_steel,revolving_credit,USD,179551000000,4478995000000,1637090000000,0.029357,757662.15,3.0,validated,2023
LN-2024-0000039,BOR-000039,manufacturing_steel,revolving_credit,USD,579529000000,4890102000000,1592105000000,0.089403,768660.04,3.0,rejected,2024
LN-2023-0000040,BOR-000040,real_estate_residential,project_finance,IDR,111571000000,8020186000000,8794311000000,0.006635,1719.87,4.0,validated,2023
LN-2024-0000040,BOR-000040,real_estate_residential,project_finance,IDR,1240073000000,8281989000000,9703013000000,0.06895,1774.55,4.0,validated,2024
LN-2023-0000041,BOR-000041,agriculture,mortgage,IDR,389206000000,2942065000000,19384788000000,0.017432,18894.58,5.0,pending,2023
LN-2024-0000041,BOR-000041,agriculture,mortgage,IDR,2000000000000,3124764000000,18462033000000,0.092649,18001.45,5.0,validated,2024
LN-2023-0000042,BOR-000042,real_estate_residential,syndicated_loan,USD,53945000000,11812936000000,32969844000000,0.001205,7765.6,4.0,validated,2023
LN-2024-0000042,BOR-000042,real_estate_residential,syndicated_loan,USD,156558000000,11796791000000,35890903000000,0.003283,7258.94,4.0,validated,2024
LN-2023-0000043,BOR-000043,transportation_road,syndicated_loan,IDR,536797000000,7422569000000,23953811000000,0.017108,88068.53,4.0,validated,2023
LN-2024-0000043,BOR-000043,transportation_road,syndicated_loan,IDR,749627000000,8094095000000,22897326000000,0.024188,83609.63,4.0,validated,2024
LN-2023-0000044,BOR-000044,real_estate_commercial,revolving_credit,USD,51544000000,14160426000000,1332052000000,0.003327,10292.96,2.0,validated,2023
LN-2024-0000044,BOR-000044,real_estate_commercial,revolving_credit,USD,244103000000,14907019000000,1360729000000,0.015005,9904.28,2.0,validated,2024
LN-2023-0000045,BOR-000045,transportation_road,term_loan,USD,21268000000,2522242000000,614683000000,0.00678,145604.37,3.0,rejected,2023
LN-2024-0000045,BOR-000045,transportation_road,term_loan,USD,64975000000,2541106000000,659809000000,0.020299,147015.83,3.0,rejected,2024
LN-2023-0000046,BOR-000046,manufacturing_cement,syndicated_loan,IDR,211766000000,7001474000000,691006000000,0.027529,468645.04,3.0,validated,2023
LN-2024-0000046,BOR-000046,manufacturing_cement,syndicated_loan,IDR,716546000000,7088751000000,780519000000,0.091056,450133.42,3.0,pending,2024
LN-2023-0000047,BOR-000047,real_estate_residential,leasing,IDR,201762000000,47364093000000,884890000000,0.004182,2902.51,3.0,validated,2023
LN-2024-0000047,BOR-000047,real_estate_residential,leasing,IDR,17516000000,50000000000000,944274000000,0.000344,2760.78,3.0,validated,2024
LN-2023-0000048,BOR-000048,financial_services,mortgage,USD,2000000000000,3266135000000,50000000000000,0.037547,6750.48,3.0,validated,2023
LN-2024-0000048,BOR-000048,financial_services,mortgage,USD,2000000000000,3515531000000,50000000000000,0.037372,6296.73,2.0,validated,2024
LN-2023-0000049,BOR-000049,real_estate_residential,syndicated_loan,IDR,145428000000,50000000000000,703537000000,0.002868,11793.42,3.0,validated,2023
LN-2024-0000049,BOR-000049,real_estate_residential,syndicated_loan,IDR,1820848000000,50000000000000,698092000000,0.035916,11507.15,3.0,validated,2024
LN-2023-0000050,BOR-000050,real_estate_commercial,term_loan,USD,166519000000,43921442000000,2546002000000,0.003584,6702.08,2.0,validated,2023
LN-2024-0000050,BOR-000050,real_estate_commercial,term_loan,USD,134616000000,48099476000000,2363034000000,0.002668,6795.12,2.0,pending,2024
